league,team,season,avg_possession_rate,avg_progressive_passes,position
Premier League,Brentford,2021-2022,44.76,34.76,13
Premier League,Brighton & Hove Albion,2021-2022,54.39,42.97,9
Premier League,Burnley,2021-2022,40.16,25.58,18
Premier League,Chelsea,2021-2022,61.76,59.87,3
Premier League,Crystal Palace,2021-2022,51.08,32.34,12
Premier League,Everton,2021-2022,40.0,29.18,16
Premier League,Leeds United,2021-2022,52.34,39.03,17
Premier League,Leicester City,2021-2022,52.0,36.66,8
Premier League,Liverpool,2021-2022,62.66,59.03,2
Premier League,Manchester City,2021-2022,67.95,63.71,1
Premier League,Manchester United,2021-2022,52.68,41.37,6
Premier League,Newcastle United,2021-2022,40.42,24.47,11
Premier League,Norwich City,2021-2022,42.87,27.39,20
Premier League,Southampton,2021-2022,47.68,35.47,15
Premier League,Tottenham Hotspur,2021-2022,51.84,40.76,4
Premier League,Watford,2021-2022,40.71,28.32,19
Premier League,West Ham United,2021-2022,47.92,38.84,7
Premier League,Wolverhampton Wanderers,2021-2022,49.53,37.0,10
Premier League,Arsenal,2022-2023,59.32,53.92,2
Premier League,Aston Villa,2022-2023,49.26,32.68,7
Premier League,Bournemouth,2022-2023,40.42,27.61,15
Premier League,Brentford,2022-2023,43.84,30.84,9
Premier League,Brighton & Hove Albion,2022-2023,60.24,50.82,6
Premier League,Chelsea,2022-2023,58.66,47.82,12
Premier League,Crystal Palace,2022-2023,46.34,32.71,11
Premier League,Everton,2022-2023,42.76,28.47,17
Premier League,Fulham,2022-2023,48.76,34.95,10
Premier League,Leeds United,2022-2023,46.97,37.68,19
Premier League,Leicester City,2022-2023,47.71,34.61,18
Premier League,Liverpool,2022-2023,60.82,52.42,5
Premier League,Manchester City,2022-2023,64.74,54.74,1
Premier League,Manchester United,2022-2023,53.71,41.97,3
Premier League,Newcastle United,2022-2023,52.26,42.58,4
Premier League,Nottingham Forest,2022-2023,37.61,23.92,16
Premier League,Southampton,2022-2023,44.53,30.42,20
Premier League,Tottenham Hotspur,2022-2023,50.03,42.5,8
Premier League,West Ham United,2022-2023,42.11,34.74,14
Premier League,Wolverhampton Wanderers,2022-2023,49.95,36.08,13
Premier League,Arsenal,2023-2024,58.18,55.45,2
Premier League,Aston Villa,2023-2024,53.11,38.37,4
Premier League,Bournemouth,2023-2024,44.39,34.58,13
Premier League,Brentford,2023-2024,45.16,35.42,16
Premier League,Brighton & Hove Albion,2023-2024,59.84,47.39,11
Premier League,Burnley,2023-2024,47.37,31.21,19
Premier League,Chelsea,2023-2024,58.61,43.29,6
Premier League,Crystal Palace,2023-2024,42.29,32.34,10
Premier League,Everton,2023-2024,40.84,29.71,12
Premier League,Fulham,2023-2024,50.61,38.74,14
Premier League,Liverpool,2023-2024,61.26,55.53,3
Premier League,Luton Town,2023-2024,42.37,33.53,18
Premier League,Manchester City,2023-2024,65.21,54.42,1
Premier League,Manchester United,2023-2024,50.58,38.92,8
Premier League,Newcastle United,2023-2024,52.21,41.05,7
Premier League,Nottingham Forest,2023-2024,40.58,30.53,17
Premier League,Sheffield United,2023-2024,35.84,26.11,20
Premier League,Tottenham Hotspur,2023-2024,61.58,55.45,5
Premier League,West Ham United,2023-2024,41.11,31.92,9
Premier League,Wolverhampton Wanderers,2023-2024,48.87,34.63,15
Serie A,Atalanta,2017-2018,55.42,59.29,7
Serie A,Benevento,2017-2018,47.47,32.68,20
Serie A,Bologna,2017-2018,46.84,36.47,15
Serie A,Cagliari,2017-2018,45.34,39.42,16
Serie A,Chievo,2017-2018,44.42,36.55,14
Serie A,Crotone,2017-2018,39.89,33.05,18
Serie A,Fiorentina,2017-2018,52.55,45.58,8
Serie A,Genoa,2017-2018,46.29,44.29,12
Serie A,Hellas Verona,2017-2018,41.92,28.34,19
Serie A,Internazionale,2017-2018,57.13,49.55,5
Serie A,Juventus,2017-2018,57.24,46.16,1
Serie A,Lazio,2017-2018,51.13,52.68,4
Serie A,Milan,2017-2018,55.97,54.76,6
Serie A,Napoli,2017-2018,63.42,64.95,2
Serie A,Roma,2017-2018,58.03,52.42,3
Serie A,SPAL,2017-2018,44.66,36.71,17
Serie A,Sampdoria,2017-2018,53.55,42.82,10
Serie A,Sassuolo,2017-2018,42.92,41.16,11
Serie A,Torino,2017-2018,51.11,39.29,9
Serie A,Udinese,2017-2018,44.68,39.55,13
Serie A,Atalanta,2018-2019,57.32,59.29,3
Serie A,Bologna,2018-2019,44.92,37.32,10
Serie A,Cagliari,2018-2019,49.84,34.08,15
Serie A,Chievo,2018-2019,43.32,34.03,20
Serie A,Empoli,2018-2019,47.92,43.89,18
Serie A,Fiorentina,2018-2019,50.39,41.37,14
Serie A,Frosinone,2018-2019,41.53,35.89,19
Serie A,Genoa,2018-2019,43.42,36.03,17
Serie A,Internazionale,2018-2019,59.45,51.24,4
Serie A,Juventus,2018-2019,55.95,50.71,1
Serie A,Lazio,2018-2019,50.82,52.11,8
Serie A,Milan,2018-2019,54.11,46.58,5
Serie A,Napoli,2018-2019,59.08,55.16,2
Serie A,Parma,2018-2019,37.71,26.71,16
Serie A,Roma,2018-2019,51.42,44.37,6
Serie A,SPAL,2018-2019,50.42,37.37,13
Serie A,Sampdoria,2018-2019,54.95,44.34,9
Serie A,Sassuolo,2018-2019,53.76,40.11,11
Serie A,Torino,2018-2019,51.08,44.68,7
Serie A,Udinese,2018-2019,42.61,32.58,12
Serie A,Atalanta,2019-2020,57.35,55.59,3
Serie A,Bologna,2019-2020,52.51,44.59,12
Serie A,Brescia,2019-2020,40.24,33.0,19
Serie A,Cagliari,2019-2020,45.92,36.19,13
Serie A,Fiorentina,2019-2020,47.32,43.0,10
Serie A,Genoa,2019-2020,49.92,37.7,17
Serie A,Hellas Verona,2019-2020,49.41,49.46,9
Serie A,Internazionale,2019-2020,54.38,55.86,2
Serie A,Juventus,2019-2020,58.11,46.11,1
Serie A,Lazio,2019-2020,50.54,47.76,4
Serie A,Lecce,2019-2020,44.62,35.19,18
Serie A,Milan,2019-2020,54.73,44.95,6
Serie A,Napoli,2019-2020,59.3,53.3,7
Serie A,Parma,2019-2020,43.65,32.7,11
Serie A,Roma,2019-2020,52.95,44.89,5
Serie A,SPAL,2019-2020,46.76,36.05,20
Serie A,Sampdoria,2019-2020,42.59,36.78,15
Serie A,Sassuolo,2019-2020,57.16,41.54,8
Serie A,Torino,2019-2020,47.49,38.05,16
Serie A,Udinese,2019-2020,45.05,40.22,14
Serie A,Atalanta,2020-2021,54.56,62.92,4
Serie A,Benevento,2020-2021,42.61,30.11,18
Serie A,Bologna,2020-2021,50.9,40.36,14
Serie A,Brescia,2020-2021,52.0,45.0,21
Serie A,Cagliari,2020-2021,44.56,34.28,17
Serie A,Crotone,2020-2021,46.26,35.84,20
Serie A,Fiorentina,2020-2021,46.36,41.97,11
Serie A,Genoa,2020-2021,44.56,33.0,10
Serie A,Hellas Verona,2020-2021,50.18,49.97,13
Serie A,Internazionale,2020-2021,52.33,49.92,1
Serie A,Juventus,2020-2021,56.92,47.72,5
Serie A,Lazio,2020-2021,52.77,47.31,6
Serie A,Lecce,2020-2021,51.0,54.0,22
Serie A,Milan,2020-2021,51.97,39.41,2
Serie A,Napoli,2020-2021,55.1,45.0,3
Serie A,Parma,2020-2021,47.82,35.28,19
Serie A,Roma,2020-2021,52.0,47.76,7
Serie A,SPAL,2020-2021,51.0,27.0,23
Serie A,Sampdoria,2020-2021,45.28,36.31,9
Serie A,Sassuolo,2020-2021,60.51,46.33,8
Serie A,Spezia,2020-2021,51.87,36.53,15
Serie A,Torino,2020-2021,47.23,34.08,16
Serie A,Udinese,2020-2021,45.9,43.21,12
Serie A,Atalanta,2021-2022,54.97,54.95,8
Serie A,Bologna,2021-2022,50.61,37.39,13
Serie A,Cagliari,2021-2022,44.47,31.84,18
Serie A,Empoli,2021-2022,47.39,38.87,14
Serie A,Fiorentina,2021-2022,57.71,41.68,7
Serie A,Genoa,2021-2022,43.92,30.42,19
Serie A,Hellas Verona,2021-2022,50.58,51.0,9
Serie A,Internazionale,2021-2022,56.5,53.53,2
Serie A,Juventus,2021-2022,51.53,38.79,4
Serie A,Lazio,2021-2022,55.37,40.18,5
Serie A,Milan,2021-2022,54.03,39.11,1
Serie A,Napoli,2021-2022,58.34,43.92,3
Serie A,Roma,2021-2022,51.37,45.74,6
Serie A,Salernitana,2021-2022,41.21,29.18,17
Serie A,Sampdoria,2021-2022,46.13,31.32,15
Serie A,Sassuolo,2021-2022,54.89,39.66,11
Serie A,Spezia,2021-2022,42.74,26.79,16
Serie A,Torino,2021-2022,53.26,42.66,10
Serie A,Udinese,2021-2022,42.68,37.24,12
Serie A,Venezia,2021-2022,42.29,29.18,20
Serie A,Atalanta,2022-2023,49.95,50.63,6
Serie A,Bologna,2022-2023,54.74,37.16,9
Serie A,Cremonese,2022-2023,42.11,32.87,19
Serie A,Empoli,2022-2023,47.26,29.32,14
Serie A,Fiorentina,2022-2023,56.11,42.82,8
Serie A,Hellas Verona,2022-2023,41.21,33.32,17
Serie A,Internazionale,2022-2023,55.74,48.45,3
Serie A,Juventus,2022-2023,49.55,41.13,4
Serie A,Lazio,2022-2023,52.11,36.34,2
Serie A,Lecce,2022-2023,41.29,32.42,16
Serie A,Milan,2022-2023,55.58,42.82,5
Serie A,Monza,2022-2023,55.21,41.11,11
Serie A,Napoli,2022-2023,61.76,47.47,1
Serie A,Roma,2022-2023,48.58,37.71,7
Serie A,Salernitana,2022-2023,44.92,34.58,15
Serie A,Sampdoria,2022-2023,46.13,32.5,20
Serie A,Sassuolo,2022-2023,49.18,41.18,13
Serie A,Spezia,2022-2023,47.42,34.13,18
Serie A,Torino,2022-2023,53.16,43.97,10
Serie A,Udinese,2022-2023,48.0,42.71,12
Serie A,Atalanta,2023-2024,51.03,54.0,4
Serie A,Bologna,2023-2024,58.13,38.24,5
Serie A,Cagliari,2023-2024,42.08,30.37,17
Serie A,Empoli,2023-2024,43.97,29.82,16
Serie A,Fiorentina,2023-2024,57.39,43.58,8
Serie A,Frosinone,2023-2024,49.68,36.89,18
Serie A,Genoa,2023-2024,44.05,32.37,11
Serie A,Hellas Verona,2023-2024,44.39,31.58,13
Serie A,Internazionale,2023-2024,57.08,48.89,1
Serie A,Juventus,2023-2024,48.53,43.95,3
Serie A,Lazio,2023-2024,53.32,41.45,7
Serie A,Lecce,2023-2024,44.87,31.13,14
Serie A,Milan,2023-2024,56.92,41.29,2
Serie A,Monza,2023-2024,53.47,36.92,12
Serie A,Napoli,2023-2024,60.95,46.84,9
Serie A,Roma,2023-2024,54.92,41.87,6
Serie A,Salernitana,2023-2024,44.5,32.32,20
Serie A,Sassuolo,2023-2024,43.76,34.71,19
Serie A,Torino,2023-2024,51.63,41.71,10
Serie A,Udinese,2023-2024,39.34,31.87,15
