league,team,season,avg_possession_rate,avg_progressive_passes,position
Bundesliga,Augsburg,2022-2023,41.71,25.71,15
Bundesliga,Bayer Leverkusen,2022-2023,52.03,37.5,6
Bundesliga,Bayern Munich,2022-2023,64.21,60.68,1
Bundesliga,Bochum,2022-2023,46.15,30.29,14
Bundesliga,Dortmund,2022-2023,58.18,48.21,2
Bundesliga,Eintracht Frankfurt,2022-2023,52.88,45.79,7
Bundesliga,Freiburg,2022-2023,48.06,31.62,5
Bundesliga,Hertha BSC,2022-2023,42.0,27.85,18
Bundesliga,Hoffenheim,2022-2023,48.32,41.47,12
Bundesliga,Köln,2022-2023,49.94,36.68,11
Bundesliga,Mainz 05,2022-2023,44.76,41.26,9
Bundesliga,Mönchengladbach,2022-2023,53.74,34.74,10
Bundesliga,RB Leipzig,2022-2023,58.15,44.41,3
Bundesliga,Schalke 04,2022-2023,45.97,27.79,17
Bundesliga,Stuttgart,2022-2023,50.24,40.62,16
Bundesliga,Union Berlin,2022-2023,43.82,35.65,4
Bundesliga,Werder Bremen,2022-2023,49.29,37.79,13
Bundesliga,Wolfsburg,2022-2023,50.56,39.12,8
Bundesliga,Augsburg,2023-2024,43.85,34.41,11
Bundesliga,Bayer Leverkusen,2023-2024,61.82,66.44,1
Bundesliga,Bayern Munich,2023-2024,61.29,57.56,3
Bundesliga,Bochum,2023-2024,46.65,35.32,16
Bundesliga,Darmstadt 98,2023-2024,45.74,36.76,18
Bundesliga,Dortmund,2023-2024,57.79,42.85,5
Bundesliga,Eintracht Frankfurt,2023-2024,52.06,42.88,6
Bundesliga,Freiburg,2023-2024,46.56,37.76,10
Bundesliga,Heidenheim,2023-2024,42.47,28.91,8
Bundesliga,Hoffenheim,2023-2024,49.53,44.44,7
Bundesliga,Köln,2023-2024,46.47,31.94,17
Bundesliga,Mainz 05,2023-2024,46.09,40.68,13
Bundesliga,Mönchengladbach,2023-2024,46.76,38.71,14
Bundesliga,RB Leipzig,2023-2024,55.32,46.26,4
Bundesliga,Stuttgart,2023-2024,59.88,49.29,2
Bundesliga,Union Berlin,2023-2024,42.91,39.24,15
Bundesliga,Werder Bremen,2023-2024,46.82,38.59,9
Bundesliga,Wolfsburg,2023-2024,47.97,37.24,12
La Liga,Alavés,2017-2018,40.34,27.58,14
La Liga,Athletic Club,2017-2018,49.58,40.71,16
La Liga,Atlético Madrid,2017-2018,47.5,38.66,2
La Liga,Barcelona,2017-2018,62.84,56.61,1
La Liga,Celta Vigo,2017-2018,55.74,42.21,12
La Liga,Deportivo La Coruña,2017-2018,46.76,38.87,18
La Liga,Eibar,2017-2018,52.0,38.97,9
La Liga,Espanyol,2017-2018,46.87,33.58,13
La Liga,Getafe,2017-2018,40.18,28.74,8
La Liga,Girona,2017-2018,46.82,36.45,10
La Liga,Las Palmas,2017-2018,54.66,35.08,19
La Liga,Leganés,2017-2018,42.97,29.24,17
La Liga,Levante,2017-2018,42.79,33.84,15
La Liga,Málaga,2017-2018,44.08,30.95,20
La Liga,Real Betis,2017-2018,56.92,40.82,6
La Liga,Real Madrid,2017-2018,60.18,62.71,3
La Liga,Real Sociedad,2017-2018,56.47,42.24,11
La Liga,Sevilla,2017-2018,54.34,48.0,7
La Liga,Valencia,2017-2018,48.61,41.13,4
La Liga,Villarreal,2017-2018,50.37,38.24,5
La Liga,Alavés,2018-2019,42.74,29.29,11
La Liga,Athletic Club,2018-2019,50.0,38.42,8
La Liga,Atlético Madrid,2018-2019,49.21,36.47,2
La Liga,Barcelona,2018-2019,64.39,55.61,1
La Liga,Celta Vigo,2018-2019,51.58,34.32,16
La Liga,Eibar,2018-2019,54.0,42.61,12
La Liga,Espanyol,2018-2019,49.39,39.34,7
La Liga,Getafe,2018-2019,40.74,29.76,6
La Liga,Girona,2018-2019,47.97,37.71,18
La Liga,Huesca,2018-2019,44.5,32.47,19
La Liga,Leganés,2018-2019,43.05,31.89,13
La Liga,Levante,2018-2019,45.66,37.34,15
La Liga,Rayo Vallecano,2018-2019,48.68,35.53,20
La Liga,Real Betis,2018-2019,61.84,46.21,10
La Liga,Real Madrid,2018-2019,60.08,55.37,3
La Liga,Real Sociedad,2018-2019,51.66,36.45,9
La Liga,Sevilla,2018-2019,52.29,51.89,5
La Liga,Valencia,2018-2019,47.08,41.08,4
La Liga,Valladolid,2018-2019,46.84,34.76,17
La Liga,Villarreal,2018-2019,48.32,44.55,14
La Liga,Alavés,2019-2020,41.47,24.84,16
La Liga,Athletic Club,2019-2020,48.66,34.45,11
La Liga,Atlético Madrid,2019-2020,48.61,35.08,3
La Liga,Barcelona,2019-2020,66.39,53.74,2
La Liga,Celta Vigo,2019-2020,51.66,36.42,17
La Liga,Eibar,2019-2020,46.34,33.29,14
La Liga,Espanyol,2019-2020,47.37,33.39,20
La Liga,Getafe,2019-2020,45.0,31.63,8
La Liga,Granada,2019-2020,43.76,27.21,7
La Liga,Leganés,2019-2020,43.89,31.68,18
La Liga,Levante,2019-2020,48.29,35.74,12
La Liga,Mallorca,2019-2020,44.97,31.92,19
La Liga,Osasuna,2019-2020,47.45,35.76,10
La Liga,Real Betis,2019-2020,56.68,39.32,15
La Liga,Real Madrid,2019-2020,58.79,51.89,1
La Liga,Real Sociedad,2019-2020,56.24,42.05,6
La Liga,Sevilla,2019-2020,57.92,48.68,4
La Liga,Valencia,2019-2020,49.0,36.26,9
La Liga,Valladolid,2019-2020,44.66,29.11,13
La Liga,Villarreal,2019-2020,52.89,39.03,5
La Liga,Alavés,2020-2021,42.82,25.42,16
La Liga,Athletic Club,2020-2021,49.89,39.37,9
La Liga,Atlético Madrid,2020-2021,52.34,44.79,1
La Liga,Barcelona,2020-2021,65.53,57.89,3
La Liga,Celta Vigo,2020-2021,53.32,34.42,8
La Liga,Cádiz,2020-2021,34.84,22.47,12
La Liga,Eibar,2020-2021,49.29,34.16,20
La Liga,Elche,2020-2021,47.5,25.29,17
La Liga,Getafe,2020-2021,43.34,28.76,15
La Liga,Granada,2020-2021,41.45,25.92,10
La Liga,Huesca,2020-2021,48.34,33.42,18
La Liga,Levante,2020-2021,52.18,41.29,14
La Liga,Osasuna,2020-2021,43.24,32.11,11
La Liga,Real Betis,2020-2021,53.58,37.92,6
La Liga,Real Madrid,2020-2021,59.26,51.0,2
La Liga,Real Sociedad,2020-2021,54.95,41.03,5
La Liga,Sevilla,2020-2021,60.87,42.97,4
La Liga,Valencia,2020-2021,46.87,31.47,13
La Liga,Valladolid,2020-2021,45.16,29.11,19
La Liga,Villarreal,2020-2021,55.24,43.16,7
La Liga,Alavés,2021-2022,42.0,25.97,20
La Liga,Athletic Club,2021-2022,48.11,41.37,8
La Liga,Atlético Madrid,2021-2022,50.63,40.08,3
La Liga,Barcelona,2021-2022,64.16,54.74,2
La Liga,Celta Vigo,2021-2022,55.21,38.08,11
La Liga,Cádiz,2021-2022,41.34,28.71,16
La Liga,Elche,2021-2022,48.39,30.03,13
La Liga,Espanyol,2021-2022,46.95,32.16,14
La Liga,Getafe,2021-2022,41.5,25.08,15
La Liga,Granada,2021-2022,44.71,27.55,18
La Liga,Levante,2021-2022,47.16,36.21,19
La Liga,Mallorca,2021-2022,45.29,29.79,17
La Liga,Osasuna,2021-2022,46.87,35.11,10
La Liga,Rayo Vallecano,2021-2022,49.89,34.53,12
La Liga,Real Betis,2021-2022,53.68,39.95,5
La Liga,Real Madrid,2021-2022,59.95,54.68,1
La Liga,Real Sociedad,2021-2022,54.34,38.61,6
La Liga,Sevilla,2021-2022,59.45,42.37,4
La Liga,Valencia,2021-2022,43.58,32.37,9
La Liga,Villarreal,2021-2022,56.79,44.68,7
La Liga,Almería,2022-2023,45.11,28.95,17
La Liga,Athletic Club,2022-2023,51.58,47.79,8
La Liga,Atlético Madrid,2022-2023,50.63,41.97,3
La Liga,Barcelona,2022-2023,64.26,57.42,1
La Liga,Celta Vigo,2022-2023,50.21,37.16,13
La Liga,Cádiz,2022-2023,41.89,25.5,16
La Liga,Elche,2022-2023,45.5,31.79,20
La Liga,Espanyol,2022-2023,43.11,30.53,19
La Liga,Getafe,2022-2023,39.92,26.55,15
La Liga,Girona,2022-2023,51.32,36.89,10
La Liga,Mallorca,2022-2023,41.05,25.34,9
La Liga,Osasuna,2022-2023,48.03,35.68,7
La Liga,Rayo Vallecano,2022-2023,51.16,36.58,12
La Liga,Real Betis,2022-2023,50.55,33.47,6
La Liga,Real Madrid,2022-2023,60.89,53.08,2
La Liga,Real Sociedad,2022-2023,54.61,39.03,4
La Liga,Sevilla,2022-2023,52.63,41.34,11
La Liga,Valencia,2022-2023,52.03,38.82,14
La Liga,Valladolid,2022-2023,48.68,33.53,18
La Liga,Villarreal,2022-2023,56.87,42.68,5
La Liga,Alavés,2023-2024,41.79,33.16,10
La Liga,Almería,2023-2024,46.37,28.97,19
La Liga,Athletic Club,2023-2024,49.84,42.37,5
La Liga,Atlético Madrid,2023-2024,50.84,45.53,4
La Liga,Barcelona,2023-2024,64.29,50.89,2
La Liga,Celta Vigo,2023-2024,46.13,36.11,14
La Liga,Cádiz,2023-2024,43.26,26.76,18
La Liga,Getafe,2023-2024,44.82,30.03,12
La Liga,Girona,2023-2024,56.95,45.92,3
